customer_id,first_name,middle_name,last_name,email,phone,date_of_birth,gender,nationality,address,city,country,signup_date,active_flag
CUS0000037,kathleen,,Martin,paul.oliveira@mail.com,0777413697,1980-10-01,Female,United Kingdom,182 Elm St,Shanghai,United Kingdom,2026-01-14,True
CUS0000038,Joshua,,Torres,joshua_torres319@gmail.com,6707167141,2007-06-21,Female,U.A.E.,3920 River Rd,Budapest,United Arab Emirates,2016-04-14,True
CUS0000039,Amanda,,Lopez,amanda.lopez686@aol.com,+16258825111,1962-05-07,Female,Canada,9456 Church St,Dallas,Canada,2026-03-11,True
CUS0000040,Jennifer,,Adams,jenniferadams@gmail.com,966-386-5940,1972-06-05,Female,United Arab Emirates,7975 Elm St,Chicago,United Arab Emirates,2023-07-18,False
CUS0000041,gary,,  Roberts  ,gary.roberts@mail.com,+11452310716,1983-09-10,Male,Denmark,8877 Church St,Las Vegas,Denmark,2020-05-10,True
CUS0000042,Lisa,,Lee,lisalee181@yahoo.com,+14369127315,1967-11-24,Male,France,2456 Elm St,Tokyo,France,2024-06-08,True
CUS0000043,Priya,William,Lee,priyalee@gmail.com,3590705690,1993-10-04,Male,France,6192 Oak Ave,Amsterdam,France,2015-04-16,True
CUS0000044,Carolyn,,Ivanov,carolynivanov@outlook.com,9905751162,1998-02-19,Other,China,9559 Main St,Tunis,China,2015-09-23,True
CUS0000045,Larry,Joseph,Hall,larry.hall@mail.com,+19871596357,1994-07-20,Female,France,6536 1st Ave,Mexico City,France,2025-07-19,True
CUS0000046,Anthony,Shirley,Mitchell,anthonymitchell496@yahoo.com,(632) 435-0326,1968-08-13,Female,Bangladesh,1635 Elm St,Philadelphia,Bangladesh,2018-07-18,True
CUS0000047,Benjamin,Benjamin,Garcia,benjamin_garcia650@aol.com,751-083-4008,1951-09-28,Other,Indonesia,7319 Park Rd,New York,Indonesia,2021-11-11,True
CUS0000048,FREYA,,Ivanov,freya.ivanov@outlook.com,+19853640493,1947-03-14,Male,United States,2661 Maple Dr,Manila,United States,2020-11-30,True
CUS0000049,Pamela,,Rivera,pamelarivera@aol.com,+18301009835,1958-01-03,Male,Norway,3738 Main St,Delhi,Norway,2019-03-24,True
CUS0000050,Jack,Linda,Kumar,jackkumar659@yahoo.com,+14997982614,1998-08-08,Female,Australia,2408 Main St,Hong Kong,Australia,2016-06-18,True
CUS0000051,Olga,William,Clark,olgaclark776@gmail.com,6660147211,1947-04-11,Other,United Kingdom,2589 Park Rd,Mumbai,United Kingdom,2015-10-23,True
CUS0000052,Wei,,Watanabe,wei_watanabe@aol.com,9783566768,1951-07-19,Female,United States of America,702 Elm St,Hanoi,United States,2015-04-23,True
CUS0000053,Karen,,Smith,karensmith@aol.com,+10552778941,1953-03-02,Male,Germany,9995 Park Rd,Seattle,Germany,2019-10-03,True
CUS0000054,Hiro,,Wang,hiro.wang584@mail.com,(164) 258-2806,1995-02-28,Male,United States of America,9585 Elm St,Lagos,United States,2023-11-20,True
CUS0000055,Carolyn,Amanda,Jones,carolyn_jones@mail.com,(328) 070-9011,1957-06-21,Male,United Kingdom,7931 2nd St,Sao Paulo,United Kingdom,2025-03-15,True
CUS0000056,Gregory,Lisa,Costa,gregorycosta421@yahoo.com,+12193317845,1950-05-26,Female,us,3302 Maple Dr,Hanoi,United States,2024-04-07,True
CUS0000057,Betty,Dmitri,Johansson,betty_johansson@gmail.com,3438567703,1955-03-14,Female,Italy,7250 Park Rd,Seoul,Italy,2022-09-19,True
CUS0000058,Sharon,William,GREEN,sharongreen9@mail.com,+17051545013,1985-09-17,Other,Canada,3401 Maple Dr,Melbourne,Canada,2024-05-24,True
CUS0000059,Olga,Sharon,Hall,olgahall795@aol.com,6848488556,1996-05-26,Female,South Korea,2089 Main St,Hong Kong,South Korea,2025-04-05,True
CUS0000060,Liam,Timothy,Jackson,liam.jackson@yahoo.com,089-109-7638,1990-03-20,Male,Kenya,5068 1st Ave,Warsaw,Kenya,2023-06-04,True
CUS0000061,Susan,,Smith,susan_smith644@outlook.com,+18055812486,1976-03-11,Male,Chile,8098 Elm St,Vancouver,Chile,2019-01-24,True
CUS0000062,Stephanie,,Davis,stephaniedavis@aol.com,(483) 486-4943,2007-02-25,Male,Vietnam,4206 2nd St,Miami,Vietnam,2021-04-14,True
CUS0000063,Larry,,Jackson,larry.jackson707@mail.com,(475) 751-9403,1952-09-15,Male,China,8115 Highland Ave,Stockholm,China,2025-03-14,True
CUS0000064,Barbara,,Flores,barbara_flores794@gmail.com,(094) 198-8356,1992-04-19,Male,United Kingdom,1568 2nd St,Frankfurt,United Kingdom,2022-09-30,True
CUS0000065,Sandra,Jack, Thomas,sandrathomas929@aol.com,(616) 763-2469,1978-12-10,Female,Portugal,2166 2nd St,San Diego,Portugal,2025-04-05,True
CUS0000066,Anna,,Silva,annasilva818@outlook.com,+18893396325,1945-12-22,Male,China,6224 Main St,Amsterdam,China,2025-07-24,True
CUS0000067,Brandon,,Khan,brandon_khan@yahoo.com,4650556661,1975-10-31,Male,United States,5475 Oak Ave,Dallas,United States,2022-04-02,True
CUS0000068,Richard,, Campbell,richardcampbell@aol.com,(540) 855-5042,1961-08-06,Male,Mexico,5368 Maple Dr,Berlin,Mexico,2015-05-09,True
CUS0000069,Ronald,,Chen,ronald_chen@mail.com,(780) 652-0665,1997-02-23,Male,India,693 Elm St,Boston,India,2021-10-26,True
CUS0000070,Brandon,,Williams,brandonwilliams@yahoo.com,097-361-4102,1963-11-13,Female,Peru,7461 Main St,Berlin,Peru,2016-05-07,True
CUS0000071,Sven,,Lee,svenlee@yahoo.com,834-308-2676,1996-01-28,Female,France,2580 Lake Dr,Mexico City,France,2016-08-15,True
CUS0000072,Freya,Fatima,Martin,freya.martin@yahoo.com,4174828241,1965-10-30,Female,United States,8202 River Rd,Cairo,United States,2023-08-09,True
CUS0000073,Emily,Noah,Johnson,emilyjohnson@outlook.com,018-751-7214,1956-12-28,Female,New Zealand,6289 Church St,Frankfurt,New Zealand,2023-05-13,True
CUS0000074,Samantha,,Scott,samantha_scott@outlook.com,8170353680,1983-02-03,Female,United Arab Emirates,9960 Elm St,Melbourne,United Arab Emirates,2017-06-27,False
CUS0000075,Eric,James,Young,eric_young@gmail.com,+18017622496,1950-04-22,Male,Taiwan,2621 Lake Dr,Chennai,Taiwan,2025-07-06,True
CUS0000076,Margaret,,Allen,margaret.allen@yahoo.com,356-899-0424,1979-12-05,Male,France,1902 1st Ave,Moscow,France,2021-06-27,True
CUS0000077, Jacob,,Wang,jacob.wang826@outlook.com,+17370456506,1956-07-05,Female,India,1721 Church St,Auckland,India,2019-02-06,True
CUS0000078,Thomas,Timothy,Kumar,thomaskumar860@mail.com,065-694-6615,1973-10-20,Female,United States,672 Park Rd,Seoul,United States,2024-01-25,True
CUS0000079,Joseph,Joseph,Clark,joseph.clark@gmail.com,(579) 526-2518,1949-03-10,Male,Chile,6764 River Rd,Osaka,Chile,2016-09-10,True
CUS0000080,Kevin,Jack,Anderson,kevin_anderson8@gmail.com,797-451-0748,1968-08-12,Male,Indonesia,4174 River Rd,Chennai,Indonesia,2015-06-05,True
CUS0000081,Ashley,,Walker,ashley_walker821@yahoo.com,333-496-9153,1969-05-25,Female,Saudi Arabia,690 Sunset Blvd,Atlanta,Saudi Arabia,2025-06-18,True
CUS0000082,Sarah,,Robinson,sarahrobinson@outlook.com,+19100657660,1962-11-25,Female,Nigeria,8189 Park Rd,Casablanca,Nigeria,2021-11-22,True
CUS0000083,Michael,Sandra,Miller,michaelmiller315@yahoo.com,213-735-3725,1966-12-25,Female,United Arab Emirates,5590 1st Ave,Dubai,United Arab Emirates,2026-03-29,True
CUS0000084, Jonathan,,Nelson,jonathan_nelson593@gmail.com,9100405845,1948-05-06,Female,Jordan,2340 Park Rd,Barcelona,Jordan,2025-10-16,True
CUS0000085,James,,Walker,james.walker@yahoo.com,745-268-1734,1976-07-19,Male,USA,9290 Sunset Blvd,London,United States,2023-09-22,True
CUS0000086,  Janet  ,Ashley,Fernandez,janet.fernandez933@yahoo.com,+12069579683,1952-05-25,Male,United States,8291 Park Rd,Orlando,United States,2019-01-27,True
CUS0000087,William,, Hernandez,william_hernandez@mail.com,782-519-9422,1945-08-23,Female,Colombia,6444 Highland Ave,Chicago,Colombia,2021-01-23,True
CUS0000088,Brandon,,Choi,brandon_choi@aol.com,(469) 303-9115,1955-09-08,Male,Germany,8190 Church St,Ho Chi Minh City,Germany,2020-05-04,True
CUS0000089,Sarah,Hiro,ramirez,sarah_ramirez330@outlook.com,4316249994,1981-04-22,Female,Germany,2816 Maple Dr,Helsinki,Germany,2019-06-30,True
CUS0000090,Justin,Helen,Walker,justinwalker@gmail.com,(157) 703-0187,1995-07-03,Female,United Kingdom,1663 Park Rd,Seoul,United Kingdom,2021-03-02,True
CUS0000091,Sarah,,Lee,sarah_lee@mail.com,(163) 468-2432,1958-06-24,Female,United States,3922 Maple Dr,Chennai,United States,2017-05-26,True
CUS0000092,Edward,,Clark,edward_clark341@aol.com,(835) 832-7423,1984-03-30,Female,Germany,3504 Park Rd,Portland,Germany,2021-12-10,True
CUS0000093,Emma,,Brown,emmabrown@aol.com,+19304454841,1965-01-11,Male,China,9414 1st Ave,Cairo,China,2015-05-14,True
CUS0000094,Christopher,Priya,Santos,christopher_santos@aol.com,006-709-5094,1959-03-06,Male,United Kingdom,1750 Church St,Manila,United Kingdom,2025-12-22,True
CUS0000095,Jessica,Nancy,Clark,jessica.clark317@outlook.com,+13938920286,1979-04-05,Female,United Arab Emirates,8621 Maple Dr,Lima,United Arab Emirates,2022-09-04,True
CUS0000096,Scott,Charles,Novak,scottnovak@gmail.com,(344) 958-9982,1949-06-05,Male,Austria,6578 2nd St,Chicago,Austria,2024-09-02,True
CUS0000097,Scott,Larry,Rossi,scott_rossi@yahoo.com,(921) 229-9596,1991-09-25,Female,Russia,3170 Elm St,Seoul,Russia,2022-04-28,False
CUS0000098,Ronald,,Khan,ronald_khan@gmail.com,9349050226,1963-09-01,Female,Germany,9887 Sunset Blvd,Amman,Germany,2022-05-21,True
CUS0000099,Joseph,,Walker,joseph.walker@gmail.com,(201) 617-7734,1970-05-31,Male,Tunisia,5803 Lake Dr,Hanoi,Tunisia,2017-10-13,True
CUS0000100,Andrew,Diego,roberts,andrew.roberts66@mail.com,800-541-1173,1994-10-27,Female,New Zealand,6425 Lake Dr,Houston,New Zealand,2016-05-06,True
CUS0000101,Anthony,,Lewis,anthony.lewis667@gmail.com,1998396537,1986-01-25,Female,Canada,3039 Sunset Blvd,Milan,Canada,2021-09-24,True
CUS0000102,Emma,,Ivanov,emmaivanov@yahoo.com,(793) 278-2048,1955-02-12,Male,Peru,7709 Main St,Hong Kong,Peru,2016-11-01,True
CUS0000103,Andrew,,JOHANSSON,andrew_johansson249@aol.com,(795) 602-1649,1963-09-27,Male,Portugal,6596 1st Ave,Madrid,Portugal,2015-05-09,True
CUS0000104,Amanda,Andrew,Khan,amanda.khan345@outlook.com,7821333180,1970-10-20,Female,Romania,788 Maple Dr,Ottawa,Romania,2015-09-02,True
CUS0000105,Ashley,Dennis,Allen,ashleyallen518@yahoo.com,(193) 369-8362,2007-11-17,Male,Nigeria,8855 1st Ave,Calgary,Nigeria,2023-02-18,True
CUS0000106,Christopher,Donna,Johansson,christopherjohansson207@outlook.com,+15187779005,1960-12-26,Female,Norway,493 Oak Ave,Hong Kong,Norway,2020-02-09,True
CUS0000107,Maria,,Smith,mariasmith@outlook.com,(185) 996-2188,1997-10-12,Male,India,7385 2nd St,Barcelona,India,2018-06-04,True
CUS0000108,RYAN,,Ali,ryan.ali90@gmail.com,317-721-7310,1946-06-08,Male,Italy,6416 River Rd,Lyon,Italy,2017-11-06,True
CUS0000109,Jonathan,,Johansson,jonathan_johansson@mail.com,(261) 781-3785,1979-06-12,Female,France,4829 Church St,Casablanca,France,2016-12-27,True
CUS0000110, Paul,,Chen,paul.chen@gmail.com,633-655-9550,1981-08-08,Female,Austria,4854 Lake Dr,Moscow,Austria,2016-07-08,True
CUS0000111,David,Heather,Hill,david_hill164@aol.com,(606) 101-4035,1959-11-26,Male,Czech Republic,6879 Oak Ave,Brussels,Czech Republic,2017-06-22,True
CUS0000112,Raymond,,Choi,raymond_choi665@yahoo.com,2668134847,2002-05-06,Female,Mexico,3520 Sunset Blvd,Bucharest,Mexico,2017-08-23,False
CUS0000113,Gregory,Yuki,Williams,gregorywilliams343@mail.com,(481) 501-3887,1981-06-17,Female,Nigeria,533 Highland Ave,Copenhagen,Nigeria,2021-11-11,True
CUS0000114,Jennifer,Charles,Santos,jennifer.santos352@gmail.com,1362990111,1967-04-06,Female,Kenya,2101 Maple Dr,Reykjavik,Kenya,2026-05-11,True
CUS0000115,Ahmed,,Perez,ahmedperez404@outlook.com,+17159943028,2000-02-24,Female,United Arab Emirates,8947 Oak Ave,Chicago,United Arab Emirates,2018-07-10,True
CUS0000116,Chen,,King,chenking@mail.com,(822) 790-9242,1967-08-02,Male,United States,2313 1st Ave,Miami,United States,2025-01-07,True
CUS0000117,  Wei  ,,Perez,wei_perez@outlook.com,591-685-3812,1965-01-19,Male,Germany,9964 Sunset Blvd,Riyadh,Germany,2022-10-31,True
CUS0000118,Sharon,,Diaz,sharon_diaz374@aol.com,(444) 078-8461,1984-04-27,Male,Greece,9256 Main St,Helsinki,Greece,2022-06-03,True
CUS0000119,  Katherine  ,Thomas,Walker,katherine.walker@aol.com,+17969580803,2004-01-01,Male,United Kingdom,1653 Oak Ave,Santiago,United Kingdom,2017-11-02,True
CUS0000120,Mary,Brenda,Young,maryyoung666@mail.com,8836061163,1956-04-10,Prefer not to say,Hungary,9084 2nd St,Doha,Hungary,2018-01-21,True
CUS0000121,  Anna  ,,Carter,anna_carter@aol.com,894-900-8159,1989-10-30,Male,Poland,7439 Church St,Rome,Poland,2022-07-30,True
CUS0000122,Thomas,Wei,Martin,thomas.martin@mail.com,(254) 689-9812,1984-09-02,Female,United States,6298 Oak Ave,Doha,United States,2024-09-29,True
CUS0000123,Ivan,,Ramirez,ivan_ramirez@aol.com,9770297267,1957-08-17,Female,Canada,3158 Highland Ave,Sao Paulo,Canada,2022-10-08,True
CUS0000124,Diego,Barbara,Taylor,diego_taylor@mail.com,+14958317750,2002-09-27,Female,South Korea,2581 1st Ave,Brussels,South Korea,2021-07-06,True
CUS0000125,Charles,,Ali,charles.ali@mail.com,+18951079163,2001-08-08,Female,Egypt,7563 Elm St,Taipei,Egypt,2022-08-01,True
CUS0000126,Nicholas,,Martinez,nicholas_martinez@outlook.com,(121) 509-0662,1995-08-02,Male,United States,3726 Park Rd,Houston,United States,2025-07-23,True
CUS0000127,Anna,Larry,Chen,mary_choi424@outlook.com,+17290035828,1960-01-20,Female,France,7746 River Rd,Delhi,France,2020-02-23,True
CUS0000128,Patrick,Betty,ROBINSON,patrick.robinson465@yahoo.com,174-261-5453,1953-06-11,Female,Bangladesh,6882 Park Rd,Bucharest,Bangladesh,2026-03-07,True
CUS0000129,Ryan,,Rodriguez,ryan_rodriguez852@mail.com,(852) 150-7953,1988-07-30,Male,Portugal,7656 Maple Dr,Colombo,Portugal,2021-07-27,True
CUS0000130,Fatima,,Pereira,fatima.pereira@gmail.com,038-981-3914,1976-08-02,Female,United States,509 Sunset Blvd,Rome,United States,2021-07-03,True
CUS0000131,Michelle,Mark,Ramirez,michelle.ramirez@outlook.com,0782442843,1995-01-09,Female,South Africa,1040 Sunset Blvd,Moscow,South Africa,2016-08-01,True
CUS0000132,Joshua,Frank,Sanchez,joshua_sanchez@outlook.com,+18682939546,1964-10-09,Male,Japan,2868 Maple Dr,Beijing,Japan,2020-12-10,True
CUS0000133,Debra,Alexander,Miller,debra_miller671@mail.com,+12157931954,1968-01-18,Male,United States,3178 Park Rd,Calgary,United States,2018-04-08,True
CUS0000134,  Shirley  ,Fatima,Park,shirley_park@yahoo.com,2064466251,1964-01-31,Female,United States,917 Church St,Beijing,United States,2024-04-19,True
CUS0000135,Elizabeth,,Yamamoto,elizabeth.yamamoto@yahoo.com,8174845900,1989-09-22,Female,Germany,7558 Sunset Blvd,Brussels,Germany,2025-10-06,True
CUS0000136,  Brandon  ,Brandon,Rodriguez,brandon_rodriguez584@mail.com,(625) 504-8088,1996-09-01,Female,Vietnam,1066 Elm St,Seattle,Vietnam,2024-11-20,True
CUS0000137,Dorothy,Daniel,Thompson,dorothy_thompson@outlook.com,(710) 286-7568,2005-12-21,Male,Czech Republic,3842 Oak Ave,Tokyo,Czech Republic,2022-10-09,True
CUS0000138,Priya,,Lopez,priya.lopez@outlook.com,+11102452383,1992-11-11,Prefer not to say,Switzerland,8185 Highland Ave,Reykjavik,Switzerland,2024-10-11,True
CUS0000139,Priya,Freya,Khan,priyakhan@gmail.com,(219) 558-5012,1992-12-06,Male,Netherlands,7526 Maple Dr,Reykjavik,Netherlands,2015-03-26,True
CUS0000140,Ronald,Ivan,Wilson,ronaldwilson@yahoo.com,6805462711,1996-11-08,Male,Italy,3985 River Rd,Budapest,Italy,2018-01-19,True
CUS0000141,Chen,,Young,chenyoung@gmail.com,+16018601887,2004-09-06,Female,India,3959 Highland Ave,Dublin,India,2018-11-28,True
CUS0000142,Carlos,Debra,Baker,carlos_baker@yahoo.com,(432) 499-6092,2008-06-01,Female,United States,5062 Highland Ave,Cologne,United States,2024-04-28,True
CUS0000143,Debra,,Oliveira,debraoliveira213@mail.com,407-210-5536,1969-11-02,Female,United Kingdom,4764 Main St,Nairobi,United Kingdom,2025-09-03,True
CUS0000144,Larry,Thomas,Diaz,larry_diaz24@mail.com,0216719766,1954-11-15,Female,United Kingdom,3926 Main St,Osaka,United Kingdom,2019-12-14,True
CUS0000145,Noah,,  King  ,noah.king378@yahoo.com,4601445151,2002-05-06,Male,Czech Republic,7259 Park Rd,Dubai,Czech Republic,2026-03-30,True
CUS0000146,Hiro,,Taylor,hirotaylor170@mail.com,6888595429,1971-11-16,Male,Peru,5386 River Rd,Beijing,Peru,2022-12-13,True
CUS0000147,Laura,Paul,  Rivera  ,laura_rivera300@yahoo.com,061-597-5840,1972-08-10,Male,United Arab Emirates,7937 Oak Ave,Sao Paulo,United Arab Emirates,2022-10-11,True
CUS0000148,David,Patrick,Clark,david_clark797@outlook.com,(771) 545-6376,1967-12-15,Female,Israel,4450 River Rd,Hamburg,Israel,2017-05-28,True
CUS0000149,Larry,Steven,Scott,larry_scott826@outlook.com,+16831599246,2006-02-16,Male,United Kingdom,9661 Highland Ave,San Francisco,United Kingdom,2019-02-25,True
CUS0000150,Sharon,,Novak,sharon_novak930@mail.com,434-104-7000,1994-07-12,Female,Hungary,6700 Sunset Blvd,Melbourne,Hungary,2019-10-17,True
CUS0000151,  Carol  ,Catherine,King,carol.king671@aol.com,906-462-2052,1961-12-14,Female,Canada,5167 Church St,Mumbai,Canada,2023-06-30,True
CUS0000152,Nancy,,Nelson,nancynelson113@outlook.com,749-762-4709,1967-08-21,Female,Czech Republic,7122 Main St,Lagos,Czech Republic,2024-03-28,True
CUS0000153,Christine,, Hall,christine.hall@outlook.com,+19172182307,1972-10-17,Other,Croatia,6650 Maple Dr,Sydney,Croatia,2019-09-21,True
CUS0000154,Ivan,Andrew,Ramirez,ivan_ramirez400@yahoo.com,0151052090,1974-06-06,Female,Belgium,7330 Church St,Boston,Belgium,2020-11-24,True
CUS0000155,Anna,Melissa,Watanabe,anna.watanabe@gmail.com,4269192394,1991-04-25,Male,Russia,654 Oak Ave,Mumbai,Russia,2021-09-14,True
CUS0000156,Mark,,King,mark_king115@gmail.com,4872392515,1974-06-26,Female,Canada,5653 Sunset Blvd,Dubai,Canada,2023-12-02,True
CUS0000157, James,,Mitchell,james.mitchell@outlook.com,538-401-5046,1968-08-14,Female,Spain,1793 1st Ave,Mexico City,Spain,2023-07-25,True
CUS0000158,Christine,Ahmed,Ivanov,christine.ivanov930@yahoo.com,+18053054922,1945-11-02,Female,Kenya,1898 Oak Ave,Atlanta,Kenya,2017-12-18,True
CUS0000159,Charles,Christopher,andersson,charlesandersson905@outlook.com,2891913993,1988-08-19,Male,Denmark,1570 Main St,Beijing,Denmark,2015-04-05,True
CUS0000160,Linda,,Lewis,linda_lewis289@gmail.com,399-378-4812,1958-08-27,Male,Kenya,2860 Highland Ave,Manila,Kenya,2018-04-06,True
CUS0000161,Lisa,,williams,lisa_williams@aol.com,458-491-7030,2006-06-07,Prefer not to say,Italy,4298 Sunset Blvd,Chennai,Italy,2020-08-20,True
CUS0000162,Matthew,Melissa,Chen,matthew.chen893@mail.com,+12704263989,1996-03-09,Female,United States,874 Church St,Boston,United States,2018-12-18,True
CUS0000163, Kenneth,,Rodriguez,kennethrodriguez@gmail.com,6191417577,1970-05-18,Other,Japan,527 2nd St,Lisbon,Japan,2020-02-16,True
CUS0000164,Joshua,Rebecca,Costa,joshuacosta522@yahoo.com,+17349173161,1977-05-25,Female,Iceland,7396 Maple Dr,Hong Kong,Iceland,2018-03-16,True
CUS0000165,Lisa,,diaz,lisadiaz892@yahoo.com,290-197-5263,1961-08-07,Male,Czech Republic,3550 Church St,Frankfurt,Czech Republic,2015-11-01,True
CUS0000166,Janet,Kimberly,Jones,janetjones539@aol.com,(640) 321-2382,1967-06-15,Male,Spain,8678 Park Rd,San Francisco,Spain,2015-11-14,True
CUS0000167,Heather,,JOHNSON,heather.johnson795@outlook.com,727-146-8971,2004-03-03,Female,South Africa,9075 Church St,Manchester,South Africa,2016-08-05,True
CUS0000168,Donald,,Muller,donald_muller931@mail.com,338-677-0271,1989-12-24,Female,Saudi Arabia,1570 Maple Dr,Rome,Saudi Arabia,2019-01-11,True
CUS0000169,Brian,Sharon,Khan,briankhan@gmail.com,0491109886,1961-01-08,Female,United States,4426 Elm St,Montreal,United States,2026-07-01,True
