crew_id,first_name,last_name,role,airline_id,hire_date,status,license_number,base_airport_id
CRW000034,Sarah,Hall,Flight Attendant,AL0018,2007-04-05,On Leave,LIC-407234,APT00024
CRW000035,Sven,Tanaka,Flight Attendant,AL0006,2025-04-18,On Leave,LIC-827023,APT00174
CRW000036,Gary,Davis,Flight Attendant,AL0002,2020-12-29,On Leave,LIC-134999,APT00007
CRW000037,Gregory,Wright,Flight Attendant,AL0012,2021-08-02,Inactive,LIC-110503,APT00202
CRW000038,Lisa,Rodriguez,Flight Attendant,AL0008,1996-10-10,On Leave,LIC-173536,APT00244
CRW000039,Helen,Wright,Flight Attendant,AL0016,1999-01-31,On Leave,LIC-330640,APT00028
CRW000040,Elizabeth,Hill,Captain,AL0018,2004-05-13,On Leave,LIC-148526,APT00025
CRW000041,Pamela,Silva,Captain,AL0020,2018-12-01,Active,LIC-442638,APT00234
CRW000042,Matthew,Scott,Captain,AL0008,1997-06-16,On Leave,LIC-121973,APT00032
CRW000043,Ivan,Choi,Flight Attendant,AL0019,1997-08-08,Inactive,LIC-780641,APT00102
CRW000044,Michael,Lopez,Flight Attendant,AL0003,1995-12-30,On Leave,LIC-237584,APT00218
CRW000045,Brandon,Jones,First Officer,AL0008,2001-01-11,On Leave,LIC-974856,APT00035
CRW000046,Thomas,Smith,Purser,AL0006,2023-11-13,Active,LIC-871426,APT00166
CRW000047,Samuel,Lewis,Purser,AL0019,2017-08-28,Active,LIC-724907,APT00096
CRW000048,Cynthia,Thomas,First Officer,AL0013,2017-07-10,Active,LIC-818342,APT00110
CRW000049,Elena,Davis,Purser,AL0008,2004-03-10,Active,LIC-797488,APT00233
CRW000050,Brandon,Jackson,Purser,AL0004,2014-08-22,Active,LIC-861015,APT00163
CRW000051,Brian,Pereira,Flight Attendant,AL0016,2019-06-22,Active,LIC-599843,APT00080
CRW000052,David,Costa,Flight Attendant,AL0014,2011-09-24,Active,LIC-661419,APT00234
CRW000053,Anna,Johnson,Captain,AL0018,2021-11-24,Inactive,LIC-522112,APT00146
CRW000054,Edward,Park,Purser,AL0009,2012-11-22,On Leave,LIC-661656,APT00025
CRW000055,Michael,Taylor,Flight Attendant,AL0003,2005-03-13,Active,LIC-443230,APT00099
CRW000056,Helen,Allen,Flight Attendant,AL0007,2015-01-24,Active,LIC-211538,APT00061
CRW000057,Margaret,Clark,Flight Attendant,AL0013,2024-08-18,On Leave,LIC-938012,APT00161
CRW000058,Mark,Allen,Flight Attendant,AL0005,2020-12-20,Active,LIC-729068,APT00216
CRW000059,Mary,Schmidt,Captain,AL0002,2010-08-29,Inactive,LIC-734445,APT00010
CRW000060,Brian,Khan,Flight Attendant,AL0017,2013-10-02,On Leave,LIC-352023,APT00196
CRW000061,Anthony,Mitchell,Flight Attendant,AL0011,2025-08-30,On Leave,LIC-793752,APT00230
CRW000062,William,Kim,Flight Attendant,AL0008,2018-07-08,Active,LIC-567327,APT00249
CRW000063,Edward,Ivanov,Flight Attendant,AL0012,2010-10-15,On Leave,LIC-168983,APT00166
CRW000064,Anthony,Anderson,First Officer,AL0015,2003-10-30,Inactive,LIC-959249,APT00079
CRW000065,Thomas,Young,Captain,AL0001,2023-06-17,Active,LIC-992609,APT00037
CRW000066,Jeffrey,Rodriguez,Flight Attendant,AL0009,2025-09-08,Active,LIC-883552,APT00237
CRW000067,Linda,Khan,Purser,AL0006,1997-03-22,Active,LIC-527467,APT00104
CRW000068,Sven,Scott,Captain,AL0002,1996-01-02,Active,LIC-309873,APT00086
CRW000069,Jeffrey,Kim,First Officer,AL0001,1998-08-13,On Leave,LIC-109922,APT00184
CRW000070,Freya,Rivera,Flight Attendant,AL0009,2007-02-22,Active,LIC-762984,APT00179
CRW000071,Fatima,Perez,Purser,AL0011,2000-01-09,Inactive,LIC-901831,APT00203
CRW000072,Dmitri,Lopez,First Officer,AL0011,2022-09-17,Active,LIC-193681,APT00221
CRW000073,Shirley,Pereira,Flight Attendant,AL0016,2023-09-21,Active,LIC-715929,APT00220
CRW000074,Ronald,White,Flight Attendant,AL0010,2000-09-02,Active,LIC-124068,APT00043
CRW000075,Gregory,Rodriguez,First Officer,AL0012,2021-01-17,Active,LIC-798945,APT00043
CRW000076,Elizabeth,Harris,Flight Attendant,AL0017,1999-06-10,Active,LIC-125356,APT00052
CRW000077,Priya,Yamamoto,Flight Attendant,AL0014,2019-09-26,On Leave,LIC-977808,APT00157
CRW000078,Joshua,Lee,Captain,AL0019,2006-06-25,Active,LIC-253221,APT00146
CRW000079,James,Fernandez,First Officer,AL0005,1996-04-07,Active,LIC-460268,APT00215
CRW000080,Mark,Torres,Flight Attendant,AL0016,2008-06-14,Active,LIC-725452,APT00211
CRW000081,Sandra,Novak,Captain,AL0014,2020-11-06,Active,LIC-861625,APT00204
CRW000082,Mary,Chen,Captain,AL0012,2024-04-28,On Leave,LIC-426974,APT00020
CRW000083,Benjamin,Brown,Flight Attendant,AL0001,1998-10-21,Inactive,LIC-982374,APT00174
CRW000084,Barbara,Green,Purser,AL0011,2021-04-08,Active,LIC-114348,APT00213
CRW000085,Wei,King,First Officer,AL0018,2004-03-19,Inactive,LIC-524259,APT00246
CRW000086,Jason,Taylor,Purser,AL0013,2009-07-31,Active,LIC-989219,APT00086
CRW000087,Gregory,Baker,First Officer,AL0001,1998-06-02,Inactive,LIC-346699,APT00195
CRW000088,Kenneth,Rodriguez,Purser,AL0006,2025-07-26,Active,LIC-580040,APT00102
CRW000089,Jessica,Kumar,First Officer,AL0012,2019-10-30,On Leave,LIC-500098,APT00041
CRW000090,Nancy,Andersson,Flight Attendant,AL0017,2015-03-07,Inactive,LIC-454491,APT00085
CRW000091,Nicole,Davis,Flight Attendant,AL0009,2017-11-03,Active,LIC-790986,APT00063
CRW000092,Christine,Hill,Flight Attendant,AL0018,2022-06-13,On Leave,LIC-566964,APT00228
CRW000093,Steven,Chen,Captain,AL0016,1999-07-04,Active,LIC-742451,APT00044
CRW000094,Kevin,Jones,First Officer,AL0006,2002-09-24,Inactive,LIC-567973,APT00033
CRW000095,Diego,Young,First Officer,AL0004,1996-03-04,On Leave,LIC-997650,APT00145
CRW000096,Chen,Lee,Flight Attendant,AL0019,2010-05-12,Inactive,LIC-523212,APT00144
CRW000097,Deborah,Brown,Flight Attendant,AL0012,2010-07-11,Inactive,LIC-816469,APT00141
CRW000098,Mark,Costa,Flight Attendant,AL0017,1995-12-08,Active,LIC-651653,APT00038
CRW000099,Andrew,Scott,Flight Attendant,AL0019,2015-10-14,Active,LIC-821259,APT00125
CRW000100,Nicholas,Schmidt,Flight Attendant,AL0009,1995-04-12,On Leave,LIC-897063,APT00233
CRW000101,Jonathan,Campbell,First Officer,AL0001,2019-11-29,Active,LIC-303850,APT00023
CRW000102,Daniel,Suzuki,Captain,AL0019,2017-03-01,Active,LIC-371542,APT00200
CRW000103,Linda,Diaz,Flight Attendant,AL0012,2020-08-10,Active,LIC-371409,APT00032
CRW000104,Cynthia,Carter,Flight Attendant,AL0003,1998-09-19,Inactive,LIC-538271,APT00059
CRW000105,Catherine,Lewis,First Officer,AL0011,2022-05-06,Active,LIC-542682,APT00225
CRW000106,Charles,King,Captain,AL0001,2012-03-18,Active,LIC-103279,APT00075
CRW000107,Deborah,Johansson,Flight Attendant,AL0006,2022-02-14,Active,LIC-905880,APT00131
CRW000108,Karen,Wright,Flight Attendant,AL0007,2016-11-12,Active,LIC-873831,APT00096
CRW000109,Sandra,Adams,Flight Attendant,AL0010,2015-08-16,On Leave,LIC-640945,APT00154
CRW000110,Brenda,Thomas,Flight Attendant,AL0012,1996-01-05,Inactive,LIC-375313,APT00102
CRW000111,Paul,Diaz,Flight Attendant,AL0017,2016-09-27,Active,LIC-843922,APT00111
CRW000112,Ashley,Chen,Flight Attendant,AL0008,2009-02-05,Inactive,LIC-344166,APT00205
CRW000113,Freya,Clark,Captain,AL0015,2021-09-05,Active,LIC-375230,APT00139
CRW000114,Christopher,Campbell,Captain,AL0019,2016-06-29,Inactive,LIC-997782,APT00142
CRW000115,Daniel,Allen,Flight Attendant,AL0015,1997-05-03,Active,LIC-931521,APT00202
CRW000116,Noah,Gonzalez,First Officer,AL0006,2022-12-14,Active,LIC-625953,APT00107
CRW000117,Eric,Tanaka,First Officer,AL0014,1996-12-22,Active,LIC-252308,APT00206
CRW000118,Jennifer,Suzuki,Flight Attendant,AL0006,2004-05-26,Active,LIC-210738,APT00180
CRW000119,Ronald,Johansson,First Officer,AL0010,2001-10-23,Inactive,LIC-967844,APT00221
CRW000120,Angela,Robinson,Captain,AL0013,2025-08-10,Active,LIC-338972,APT00115
CRW000121,Donald,Lee,Captain,AL0006,1999-10-24,On Leave,LIC-713317,APT00140
CRW000122,Shirley,Brown,Purser,AL0001,2021-07-14,Active,LIC-417903,APT00033
CRW000123,Nicole,Ivanov,Flight Attendant,AL0017,2001-12-24,Active,LIC-546987,APT00028
CRW000124,Donald,Clark,Flight Attendant,AL0015,2015-06-11,Active,LIC-987453,APT00027
CRW000125,Maria,Watanabe,Flight Attendant,AL0003,1997-11-02,Active,LIC-633663,APT00159
CRW000126,Jason,Tanaka,Flight Attendant,AL0008,2007-04-25,Active,LIC-487559,APT00082
CRW000127,Ana,Hernandez,Flight Attendant,AL0006,2014-07-30,Active,LIC-474095,APT00073
CRW000128,David,Park,First Officer,AL0020,2017-05-04,On Leave,LIC-307120,APT00151
CRW000129,Joshua,Lopez,Purser,AL0019,2022-05-30,Active,LIC-600842,APT00100
CRW000130,Gregory,Flores,First Officer,AL0014,2020-08-22,Active,LIC-612757,APT00034
CRW000131,Mohammed,Nguyen,Captain,AL0009,2011-04-18,On Leave,LIC-185502,APT00140
CRW000132,Anthony,Oliveira,Flight Attendant,AL0002,2004-07-12,On Leave,LIC-464283,APT00138
CRW000133,Dmitri,Chen,First Officer,AL0005,2003-03-17,Active,LIC-680319,APT00035
CRW000134,Lisa,Suzuki,Purser,AL0002,2026-03-11,Inactive,LIC-149464,APT00068
CRW000135,Deborah,Mitchell,Purser,AL0016,2014-02-10,Inactive,LIC-978689,APT00060
CRW000136,Emily,Johansson,Captain,AL0002,2023-07-19,On Leave,LIC-874826,APT00174
CRW000137,Ronald,Novak,Flight Attendant,AL0014,2008-08-17,Active,LIC-673207,APT00063
CRW000138,Olga,Novak,First Officer,AL0020,2010-04-03,Active,LIC-114118,APT00008
CRW000139,Debra,Allen,Captain,AL0007,2020-12-10,Active,LIC-566198,APT00067
CRW000140,Catherine,Walker,Purser,AL0014,2017-09-16,Active,LIC-908634,APT00118
CRW000141,Donald,Fernandez,Captain,AL0018,2001-04-22,Active,LIC-120428,APT00193
CRW000142,Diego,Schmidt,Flight Attendant,AL0009,2011-06-19,Active,LIC-812672,APT00014
CRW000143,Edward,Park,First Officer,AL0009,2001-09-15,Active,LIC-855451,APT00221
CRW000144,Brandon,Campbell,First Officer,AL0005,2018-11-27,On Leave,LIC-168240,APT00083
CRW000145,Katherine,Choi,First Officer,AL0009,1995-12-10,Active,LIC-307339,APT00086
CRW000146,Emma,Ali,Captain,AL0018,2020-12-24,Active,LIC-751249,APT00004
CRW000147,Larry,Muller,Captain,AL0014,2024-03-09,Active,LIC-920440,APT00070
CRW000148,Laura,Anderson,Flight Attendant,AL0005,1995-09-24,Active,LIC-793846,APT00118
CRW000149,Nicole,Rivera,First Officer,AL0011,2014-10-21,Inactive,LIC-573103,APT00157
CRW000150,Olga,Ivanov,Captain,AL0015,1997-06-27,Inactive,LIC-642075,APT00192
CRW000151,George,Schmidt,First Officer,AL0002,2006-04-25,On Leave,LIC-572230,APT00131
CRW000152,Kathleen,Oliveira,First Officer,AL0016,2005-07-27,On Leave,LIC-619903,APT00026
CRW000153,Nancy,Clark,Purser,AL0005,2011-04-30,Active,LIC-793487,APT00098
CRW000154,Kevin,Harris,Flight Attendant,AL0006,2023-10-30,Inactive,LIC-144718,APT00184
CRW000155,Patrick,Pereira,First Officer,AL0009,2009-07-02,On Leave,LIC-288556,APT00160
CRW000156,Scott,Fernandez,Flight Attendant,AL0011,2007-07-07,Active,LIC-153546,APT00147
CRW000157,Margaret,Anderson,Flight Attendant,AL0019,1997-11-30,On Leave,LIC-816681,APT00128
CRW000158,Shirley,Walker,Captain,AL0005,2022-11-19,Inactive,LIC-754559,APT00127
CRW000159,Maria,Santos,Flight Attendant,AL0006,2004-11-20,On Leave,LIC-147795,APT00249
CRW000160,Joseph,Thomas,Purser,AL0008,2009-07-12,Active,LIC-195008,APT00150
CRW000161,Linda,Dubois,Flight Attendant,AL0018,1997-11-25,Active,LIC-338366,APT00150
CRW000162,Melissa,Rodriguez,First Officer,AL0020,2004-01-28,Active,LIC-317659,APT00084
CRW000163,Brandon,Anderson,Purser,AL0010,2012-05-20,Active,LIC-567425,APT00123
CRW000164,Emily,Dubois,Captain,AL0014,2023-04-18,Inactive,LIC-548952,APT00178
CRW000165,Jerry,Carter,Flight Attendant,AL0019,2005-05-02,Active,LIC-421916,APT00215
CRW000166,Wei,Hall,Flight Attendant,AL0017,2012-08-12,Inactive,LIC-247747,APT00195
CRW000167,Amy,Novak,Captain,AL0014,2022-07-06,Active,LIC-684433,APT00166
CRW000168,Amanda,Harris,Flight Attendant,AL0011,2006-04-29,Active,LIC-810854,APT00195
CRW000169,Jennifer,Green,Flight Attendant,AL0020,2004-04-06,Active,LIC-676266,APT00009
CRW000170,Jerry,Carter,Flight Attendant,AL0005,1996-05-24,Active,LIC-826639,APT00068
CRW000171,Mohammed,Muller,First Officer,AL0008,2023-07-11,Active,LIC-922554,APT00061
CRW000172,Rebecca,Clark,Flight Attendant,AL0015,1998-06-26,Active,LIC-857928,APT00164
CRW000173,Kathleen,Kim,First Officer,AL0001,2001-10-07,Active,LIC-686382,APT00189
CRW000174,Alexander,Scott,First Officer,AL0011,1999-05-18,On Leave,LIC-144611,APT00038
CRW000175,Katherine,Baker,Captain,AL0018,2017-03-24,Active,LIC-401096,APT00049
CRW000176,Thomas,Tanaka,Flight Attendant,AL0004,2006-06-18,Inactive,LIC-485085,APT00124
CRW000177,Benjamin,Young,Flight Attendant,AL0017,2017-02-23,Inactive,LIC-741252,APT00243
CRW000178,Liam,Wang,Flight Attendant,AL0009,2014-01-30,Active,LIC-862225,APT00001
CRW000179,Alexander,Santos,Flight Attendant,AL0018,1995-06-23,Inactive,LIC-676297,APT00220
CRW000180,Laura,Schmidt,First Officer,AL0013,2004-08-30,Active,LIC-426897,APT00049
CRW000181,Gary,Diaz,Captain,AL0004,1995-02-16,Active,LIC-808955,APT00068
CRW000182,Ashley,Campbell,Flight Attendant,AL0015,1997-01-21,On Leave,LIC-726237,APT00158
CRW000183,Emma,Thompson,Flight Attendant,AL0002,2009-11-10,Active,LIC-818235,APT00183
CRW000184,Mark,Diaz,Captain,AL0005,2003-04-27,On Leave,LIC-630320,APT00219
CRW000185,Michelle,Patel,Captain,AL0018,1997-10-19,Inactive,LIC-682057,APT00002
CRW000186,Ashley,Martin,Flight Attendant,AL0018,2007-11-03,Active,LIC-412487,APT00013
CRW000187,Kenneth,Sanchez,Captain,AL0001,2009-03-13,Active,LIC-459855,APT00120
CRW000188,Brian,Lee,Flight Attendant,AL0008,2026-03-05,Active,LIC-348764,APT00140
CRW000189,Elizabeth,Johansson,Flight Attendant,AL0002,2015-10-14,Inactive,LIC-331181,APT00066
CRW000190,Gregory,Davis,First Officer,AL0006,2007-05-07,Inactive,LIC-687468,APT00160
CRW000191,Edward,Muller,First Officer,AL0020,2009-11-14,Inactive,LIC-445299,APT00067
CRW000192,Diego,Hall,Flight Attendant,AL0004,1997-10-20,Active,LIC-220261,APT00234
CRW000193,Nancy,Garcia,Purser,AL0013,2007-02-23,Active,LIC-131553,APT00045
CRW000194,Benjamin,Roberts,First Officer,AL0017,2013-04-04,Active,LIC-874109,APT00164
CRW000195,Nancy,Schmidt,Captain,AL0018,1995-08-29,Active,LIC-491791,APT00133
CRW000196,Shirley,Ivanov,Flight Attendant,AL0008,2023-11-22,On Leave,LIC-618798,APT00026
CRW000197,Ryan,Nelson,Flight Attendant,AL0014,2011-03-08,Inactive,LIC-914362,APT00152
CRW000198,Rebecca,Clark,Captain,AL0010,2019-09-19,Active,LIC-200353,APT00037
CRW000199,Brandon,Wilson,Flight Attendant,AL0003,2003-08-29,Active,LIC-943648,APT00135
CRW000200,Heather,Smith,Captain,AL0005,2021-04-09,Inactive,LIC-733174,APT00159
CRW000201,Joshua,Lewis,Captain,AL0015,2006-07-11,Active,LIC-676141,APT00019
CRW000202,Wei,Kim,Purser,AL0014,2024-02-29,On Leave,LIC-488000,APT00054
CRW000203,Daniel,Brown,Purser,AL0011,2011-05-28,Active,LIC-735607,APT00074
CRW000204,Kimberly,Diaz,Flight Attendant,AL0016,2014-12-31,Active,LIC-283673,APT00233
CRW000205,Emily,Campbell,Flight Attendant,AL0014,2001-05-27,Active,LIC-371929,APT00056
CRW000206,Carlos,White,Captain,AL0007,2026-04-04,Active,LIC-964961,APT00231
CRW000207,Joseph,Oliveira,Flight Attendant,AL0006,2001-01-19,Active,LIC-348217,APT00134
CRW000208,Melissa,Anderson,Flight Attendant,AL0019,1996-01-17,On Leave,LIC-747682,APT00238
CRW000209,Ronald,Oliveira,Flight Attendant,AL0020,2008-10-26,Active,LIC-937256,APT00208
CRW000210,Dennis,Thompson,First Officer,AL0001,2021-03-24,Active,LIC-633693,APT00074
CRW000211,Ryan,Walker,Captain,AL0016,2023-12-10,Active,LIC-367901,APT00140
CRW000212,Elena,Wright,Purser,AL0003,2021-12-04,Active,LIC-863979,APT00180
CRW000213,Raymond,Diaz,Purser,AL0018,2012-05-17,Active,LIC-843612,APT00020
CRW000214,Frank,Lee,Purser,AL0012,2023-10-20,Active,LIC-589482,APT00166
CRW000215,Alexander,Pereira,Captain,AL0014,2010-06-17,On Leave,LIC-203424,APT00115
CRW000216,Karen,Ramirez,Captain,AL0015,2010-01-08,Active,LIC-497323,APT00009
CRW000217,Rebecca,Thompson,Flight Attendant,AL0013,2000-09-05,Active,LIC-488473,APT00217
CRW000218,Stephen,Patel,Flight Attendant,AL0006,2019-10-01,Inactive,LIC-270501,APT00067
CRW000219,Margaret,Kumar,Flight Attendant,AL0017,2004-12-06,Active,LIC-461902,APT00219
CRW000220,Joseph,Ramirez,Purser,AL0012,2001-02-16,On Leave,LIC-238051,APT00052
CRW000221,Thomas,Hernandez,Flight Attendant,AL0011,2006-08-11,Active,LIC-723308,APT00136
CRW000222,Jack,Young,Flight Attendant,AL0007,2013-12-12,Inactive,LIC-488771,APT00093
CRW000223,Brandon,Baker,Flight Attendant,AL0001,2003-06-26,Active,LIC-757492,APT00224
CRW000224,Dorothy,Brown,Flight Attendant,AL0012,2006-04-08,Active,LIC-510376,APT00239
CRW000225,Raymond,Miller,Flight Attendant,AL0007,2005-05-16,Active,LIC-742421,APT00193
CRW000226,Katherine,Park,Flight Attendant,AL0014,2013-09-24,Active,LIC-759980,APT00212
CRW000227,Maria,Williams,Flight Attendant,AL0008,2017-06-07,Active,LIC-244194,APT00193
CRW000228,Ivan,Allen,Flight Attendant,AL0020,2016-03-23,Inactive,LIC-497876,APT00074
CRW000229,Fatima,Rossi,Flight Attendant,AL0014,1999-06-08,Active,LIC-774976,APT00231
CRW000230,Nancy,Clark,Flight Attendant,AL0010,2005-11-26,Active,LIC-633842,APT00133
CRW000231,Patrick,Flores,First Officer,AL0015,2015-05-17,Inactive,LIC-299498,APT00086
CRW000232,Melissa,Miller,Flight Attendant,AL0013,2001-10-17,Inactive,LIC-849265,APT00049
CRW000233,Timothy,Silva,Captain,AL0013,1997-03-08,On Leave,LIC-279905,APT00178
CRW000234,Nicole,Kim,Flight Attendant,AL0012,2005-02-08,Active,LIC-994000,APT00070
CRW000235,Larry,Novak,Flight Attendant,AL0019,2016-04-28,Inactive,LIC-736166,APT00164
CRW000236,Ronald,Tanaka,Flight Attendant,AL0007,2015-11-10,Active,LIC-390272,APT00017
CRW000237,Freya,Lewis,First Officer,AL0009,1999-01-29,Inactive,LIC-275105,APT00159
CRW000238,Christopher,Brown,Flight Attendant,AL0006,2016-04-07,Active,LIC-911758,APT00161
CRW000239,Barbara,Ramirez,Purser,AL0012,2001-02-09,Active,LIC-571144,APT00132
CRW000240,Patricia,Lopez,Purser,AL0020,2018-04-16,Active,LIC-825444,APT00165
CRW000241,Maria,Nelson,First Officer,AL0013,2012-10-18,Active,LIC-848511,APT00249
CRW000242,Timothy,Lopez,Flight Attendant,AL0005,1998-12-23,Active,LIC-161205,APT00210
CRW000243,Edward,Park,First Officer,AL0019,2006-01-01,On Leave,LIC-715409,APT00110
CRW000244,Nicole,Carter,Purser,AL0016,2020-09-18,Active,LIC-400742,APT00218
CRW000245,Edward,Lee,Flight Attendant,AL0009,2008-08-05,Active,LIC-916945,APT00239
CRW000246,Jonathan,Park,Flight Attendant,AL0003,2016-08-14,Active,LIC-297138,APT00041
CRW000247,Linda,Rossi,Purser,AL0009,2018-07-05,Active,LIC-130178,APT00090
CRW000248,Charles,Scott,Flight Attendant,AL0017,1995-12-17,Active,LIC-697945,APT00186
CRW000249,Noah,Lopez,Captain,AL0012,2024-04-06,Active,LIC-596817,APT00129
CRW000250,Jason,Ramirez,Flight Attendant,AL0004,2005-07-17,Inactive,LIC-599768,APT00034
CRW000251,Christopher,Campbell,Purser,AL0004,2019-12-05,On Leave,LIC-336978,APT00119
CRW000252,Brian,Rossi,Flight Attendant,AL0020,2009-08-30,Active,LIC-545365,APT00094
CRW000253,Kenneth,Lee,Flight Attendant,AL0009,2013-02-15,Active,LIC-967791,APT00185
CRW000254,Steven,Muller,Flight Attendant,AL0014,2006-05-01,Inactive,LIC-787206,APT00129
CRW000255,Kimberly,Thompson,Flight Attendant,AL0008,2021-10-21,On Leave,LIC-986392,APT00035
CRW000256,Debra,Martin,Flight Attendant,AL0002,1998-09-09,Active,LIC-399977,APT00013
CRW000257,Richard,Scott,First Officer,AL0009,2023-02-25,On Leave,LIC-883181,APT00072
CRW000258,Emily,Gonzalez,First Officer,AL0014,2001-07-07,Active,LIC-444476,APT00040
CRW000259,Jeffrey,Allen,Purser,AL0007,2022-09-30,Active,LIC-942094,APT00220
CRW000260,Nicholas,Lewis,Purser,AL0013,1995-10-09,Active,LIC-879069,APT00068
CRW000261,Fatima,Thompson,Flight Attendant,AL0009,1995-06-08,On Leave,LIC-248177,APT00159
CRW000262,Liam,Dubois,First Officer,AL0007,1997-12-04,Inactive,LIC-974986,APT00032
CRW000263,Kimberly,Clark,Flight Attendant,AL0006,2012-03-18,Active,LIC-646629,APT00111
CRW000264,Nicholas,Kumar,Captain,AL0006,2003-05-14,On Leave,LIC-798720,APT00234
CRW000265,John,Ali,Captain,AL0006,2013-10-13,On Leave,LIC-621124,APT00161
CRW000266,Justin,Wang,Flight Attendant,AL0015,2020-10-05,Inactive,LIC-295363,APT00073
CRW000267,Charles,Perez,Flight Attendant,AL0007,1995-11-08,Active,LIC-986270,APT00187
CRW000268,William,Johansson,Flight Attendant,AL0015,2011-07-19,Active,LIC-201386,APT00126
CRW000269,Benjamin,Jackson,First Officer,AL0007,2018-03-24,Active,LIC-828069,APT00059
CRW000270,Nancy,Thompson,Flight Attendant,AL0007,2008-05-03,On Leave,LIC-288284,APT00250
CRW000271,Laura,Tanaka,Flight Attendant,AL0019,2024-01-23,Active,LIC-807091,APT00235
CRW000272,Richard,Ramirez,First Officer,AL0018,2015-10-21,On Leave,LIC-480484,APT00142
CRW000273,Rachel,Kumar,Flight Attendant,AL0009,1996-02-01,Active,LIC-312859,APT00009
CRW000274,Carolyn,Brown,Flight Attendant,AL0006,2012-01-05,Inactive,LIC-313027,APT00103
CRW000275,Jonathan,Roberts,Purser,AL0015,2007-01-23,On Leave,LIC-387625,APT00129
CRW000276,Priya,Tanaka,Purser,AL0002,1999-02-18,Active,LIC-910936,APT00233
CRW000277,Edward,Khan,First Officer,AL0010,2024-11-09,Inactive,LIC-792438,APT00184
CRW000278,Daniel,Campbell,Flight Attendant,AL0012,2001-12-29,Inactive,LIC-703649,APT00056
CRW000279,Charles,Kowalski,Flight Attendant,AL0014,1997-08-14,Active,LIC-666841,APT00128
CRW000280,Anthony,White,Flight Attendant,AL0003,2001-12-28,Active,LIC-475055,APT00045
CRW000281,Matthew,Walker,Flight Attendant,AL0001,2020-11-09,Inactive,LIC-911342,APT00119
CRW000282,Joshua,Garcia,Purser,AL0006,2013-11-06,Inactive,LIC-346430,APT00134
